287.990, 130.506, 7.568,  7.844 False
287.737, 130.522, 7.597,  7.877 False
287.484, 130.538, 7.627,  7.910 False
287.229, 130.554, 7.655,  7.943 False
286.974, 130.570, 7.685,  7.976 False
286.718, 130.585, 7.714,  8.009 False
286.460, 130.601, 7.743,  8.042 False
286.202, 130.617, 7.772,  8.075 False
285.942, 130.633, 7.802,  8.108 False
285.682, 130.648, 7.831,  8.141 False
285.421, 130.664, 7.861,  8.174 False
285.159, 130.679, 7.889,  8.207 False
284.895, 130.693, 7.919,  8.240 False
284.631, 130.707, 7.947,  8.273 False
284.366, 130.720, 7.977,  8.306 False
284.099, 130.734, 8.007,  8.339 False
283.832, 130.747, 8.037,  8.372 False
283.564, 130.759, 8.066,  8.405 False
283.294, 130.772, 8.096,  8.438 False
283.024, 130.783, 8.125,  8.471 False
282.753, 130.794, 8.155,  8.504 False
282.480, 130.805, 8.184,  8.537 False
282.207, 130.816, 8.214,  8.570 False
281.933, 130.826, 8.239,  8.603 False
281.658, 130.837, 8.259,  8.636 False
281.382, 130.847, 8.274,  8.669 False
281.107, 130.856, 8.285,  8.702 False
280.830, 130.865, 8.295,  8.735 False
280.554, 130.874, 8.303,  8.768 False
280.277, 130.883, 8.310,  8.801 False
280.001, 130.892, 8.315,  8.834 False
279.723, 130.899, 8.320,  8.867 False
279.446, 130.906, 8.324,  8.900 False
279.169, 130.912, 8.328,  8.933 False
278.891, 130.918, 8.331,  8.966 False
278.614, 130.924, 8.334,  8.999 False
278.336, 130.930, 8.336,  9.032 False
278.058, 130.935, 8.339,  9.065 False
277.781, 130.941, 8.341,  9.098 False
277.503, 130.946, 8.342,  9.131 False
277.225, 130.950, 8.343,  9.164 False
276.947, 130.954, 8.345,  9.197 False
276.668, 130.957, 8.346,  9.230 False
276.390, 130.960, 8.347,  9.263 False
276.112, 130.963, 8.347,  9.296 False
275.834, 130.965, 8.348,  9.329 False
275.556, 130.967, 8.349,  9.362 False
275.277, 130.968, 8.349,  9.395 False
274.999, 130.970, 8.350,  9.428 False
274.721, 130.971, 8.350,  9.461 False
274.443, 130.972, 8.350,  9.494 False
274.164, 130.972, 8.350,  9.527 False
273.886, 130.972, 8.351,  9.560 False
273.608, 130.972, 8.351,  9.593 False
273.329, 130.972, 8.351,  9.626 False
273.051, 130.971, 8.351,  9.659 False
272.773, 130.971, 8.351,  9.692 False
272.494, 130.969, 8.351,  9.725 False
272.216, 130.967, 8.351,  9.758 False
271.938, 130.966, 8.351,  9.791 False
271.659, 130.964, 8.351,  9.824 False
271.381, 130.962, 8.350,  9.857 False
271.103, 130.959, 8.350,  9.890 False
270.824, 130.957, 8.350,  9.923 False
270.546, 130.954, 8.350,  9.956 False
270.268, 130.950, 8.350,  9.989 False
269.989, 130.947, 8.349, 10.022 False
269.711, 130.943, 8.349, 10.055 False
269.433, 130.939, 8.349, 10.088 False
269.155, 130.935, 8.349, 10.121 False
268.876, 130.931, 8.349, 10.154 False
268.598, 130.927, 8.348, 10.187 False
268.320, 130.922, 8.348, 10.220 False
268.042, 130.917, 8.348, 10.253 False
267.764, 130.912, 8.348, 10.286 False
267.485, 130.907, 8.347, 10.319 False
267.207, 130.901, 8.347, 10.352 False
266.929, 130.895, 8.346, 10.385 False
266.651, 130.889, 8.346, 10.418 False
266.373, 130.883, 8.346, 10.451 False
266.095, 130.877, 8.346, 10.484 False
265.816, 130.870, 8.346, 10.517 False
265.538, 130.864, 8.345, 10.550 False
265.260, 130.857, 8.345, 10.583 False
264.982, 130.850, 8.345, 10.616 False
264.704, 130.843, 8.345, 10.649 False
264.426, 130.835, 8.344, 10.682 False
264.148, 130.828, 8.344, 10.715 False
263.870, 130.820, 8.344, 10.748 False
263.592, 130.812, 8.344, 10.781 False
263.314, 130.804, 8.344, 10.814 False
